"ID","STUDENTEMAILID__C","DEPT__C","JAVA__C","CSHARP__C","ENG_DRAWING__C","STATUS"
"a000X000017YyNmQAK","sam@insert.com","CSE","TRUE","TRUE","FALSE","Item Deleted"
"a000X000017YyNnQAK","bruce@insert.com","MATH","FALSE","FALSE","TRUE","Item Deleted"
"a000X000017YyNoQAK","tom@insert.com","CSE","TRUE","TRUE","FALSE","Item Deleted"
"a000X000017YyNpQAK","william@insert.com","MATH","FALSE","FALSE","TRUE","Item Deleted"
"a000X000017YyNqQAK","galanos@insert.com","CSE","TRUE","TRUE","FALSE","Item Deleted"
"a000X000017YyNrQAK","clarton@insert.com","ACON","FALSE","FALSE","FALSE","Item Deleted"
"a000X000017YyNsQAK","miller@insert.com","BUS","FALSE","FALSE","FALSE","Item Deleted"
"a000X000017YyNtQAK","jerry@insert.com","CSE","TRUE","TRUE","TRUE","Item Deleted"
"a000X000017YyNuQAK","clark@insert.com","CSE","FALSE","FALSE","TRUE","Item Deleted"
"a000X000017YyNkQAK","tara@insert.com","BUS","FALSE","FALSE","FALSE","Item Deleted"
"a000X000017YyNlQAK","mark@insert.com","CSE","TRUE","TRUE","FALSE","Item Deleted"
