"Id","OwnerId","IsDeleted","Name","RecordTypeId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","StudentEmailid__c","DOJ__c","DOB__c","City__c","Country__c","Dept__c","Preferences__c","StudentName__c","Other_City__c","Phone__c","Status__c","Java__c","csharp__c","No_of_Subjects_Passed__c","No_of_Subjects_Failed__c","Total_Marks__c","Eng_Drawing__c","SUFieldUpdate_by_WorkFlow__c","SURequestStatus__c"
"a000X000016XOyYQAW","0050X000007fiTMQAY","0","SUStudentMaster-0001","","2018-07-05 08:39:55","0050X000007fiTMQAY","2018-09-02 20:10:37","0050X000007fiTMQAY","2018-09-02 20:10:37","","tara@gmail.com","2018-07-05 00:00:00","1999-03-28 00:00:00","NY","USA","CSE","IOT;AI","Tara","","","ACTIVE","1","1","2","1","186","0","",""
"a000X000016XOynQAG","0050X000007fiTMQAY","0","SUStudentMaster-0002","","2018-07-05 08:40:57","0050X000007fiTMQAY","2018-09-08 15:45:02","0050X000007fiTMQAY","2018-09-08 15:45:02","","sam@gmail.com","2018-07-05 00:00:00","2001-09-03 00:00:00","NJ","USA","MATH","IOT;AI","Sam","","sam@gmail.com","ACTIVE","0","0","1","0","75","0","Please complete your on-boarding formalities!",""
"a000X000016XOzHQAW","0050X0000084rCzQAI","0","SUStudentMaster-0003","","2018-07-05 08:42:33","0050X000007fiTMQAY","2018-09-02 11:05:12","0050X000007fiTMQAY","2018-09-02 11:05:12","","mark@gmail.com","2018-07-05 00:00:00","1989-07-17 00:00:00","London","UK","BUS","AI","Mark","","","ACTIVE","0","0","1","1","115","","",""
"a000X000016XQ4SQAW","0050X000007fiTMQAY","0","SUStudentMaster-0004","","2018-07-05 13:36:13","0050X000007fiTMQAY","2018-08-26 21:49:36","0050X000007fiTMQAY","2018-09-02 10:53:00","","clark@gmail.com","2018-07-05 00:00:00","1979-09-12 00:00:00","Nassau","Bahamas","ECS","IOT;AI","Clark","","","ACTIVE","","","1","0","95","","",""
"a000X000017YFJ9QAO","0050X0000084rCVQAY","0","SUStudentMaster-0005","","2018-08-26 22:30:32","0050X0000084rCVQAY","2018-08-26 22:45:37","0050X0000084rCVQAY","2018-09-02 10:53:00","","miller@gmail.com","2018-08-27 00:00:00","1999-08-04 00:00:00","Miami","USA","CSE","IOT;AI","Miller","","6784563890","ACTIVE","1","1","0","0","0","","",""
"a000X000017YFJJQA4","0050X0000084rCVQAY","0","SUStudentMaster-0006","","2018-08-26 22:31:38","0050X0000084rCVQAY","2018-08-26 22:46:12","0050X0000084rCVQAY","2018-09-02 10:53:00","","tom@gmail.com","2018-08-27 00:00:00","1991-03-07 00:00:00","London","UK","MATH","IOT;AI","Tom","","789345809","ACTIVE","0","0","0","0","0","","",""
"a000X000017YFJOQA4","0050X0000084rDJQAY","0","SUStudentMaster-0007","","2018-08-26 22:35:16","0050X0000084rDJQAY","2018-08-26 22:43:35","0050X0000084rDJQAY","2018-09-02 10:53:00","","william@gmail.com","2018-08-27 00:00:00","1980-04-13 00:00:00","Tokyo","Japan","CSE","IOT;AI","William","","9784567890","ACTIVE","1","1","0","0","0","","",""
"a000X000017YFJTQA4","0050X0000084rDJQAY","0","SUStudentMaster-0008","","2018-08-26 22:37:49","0050X0000084rDJQAY","2018-08-26 22:44:11","0050X0000084rDJQAY","2018-09-02 10:53:00","","galanos@gmail.com","2018-08-27 00:00:00","1992-01-02 00:00:00","Nassau","Bahamas","ACON","ART","Galanos","","4567234581","ACTIVE","0","0","0","0","0","","",""
"a000X000017YFJdQAO","0050X0000084rCzQAI","0","SUStudentMaster-0009","","2018-08-26 22:40:55","0050X0000084rCzQAI","2018-08-26 22:40:55","0050X0000084rCzQAI","2018-09-02 10:53:00","","jerry@gmail.com","2018-08-27 00:00:00","1983-04-14 00:00:00","London","UK","BUS","IOT;ART","Jerry","","4562350984","ACTIVE","1","0","0","0","0","","",""
"a000X000017YFJiQAO","0050X0000084rCzQAI","0","SUStudentMaster-0010","","2018-08-26 22:42:29","0050X0000084rCzQAI","2018-08-26 22:42:29","0050X0000084rCzQAI","2018-09-02 10:53:00","","clarton@gmail.com","2018-08-27 00:00:00","1994-06-02 00:00:00","NY","USA","CSE","IOT;AI;ART","Clarton","","4562257890","ACTIVE","1","1","0","0","0","","",""
"a000X000017Ye3TQAS","0050X000007fiTMQAY","0","SUStudentMaster-0011","0120X000000gJly","2018-09-02 20:15:15","0050X000007fiTMQAY","2018-09-02 21:37:04","0050X0000084rCVQAY","2018-09-02 21:37:04","","bruce@gmail.com","2018-09-02 00:00:00","2000-07-06 00:00:00","London","UK","CSE","IOT;AI","Bruce","","bruce@gmail.com","ACTIVE","1","1","0","0","0","0","Please complete your on-boarding formalities!","Request Approved"
