"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","STUDENTEMAILID__C","DOJ__C","DOB__C","CITY__C","COUNTRY__C","AGE__C","DEPT__C","PREFERENCES__C","STUDENTNAME__C","OTHER_CITY__C","PHONE__C","STATUS__C","JAVA__C","CSHARP__C","NO_OF_SUBJECTS_PASSED__C","NO_OF_SUBJECTS_FAILED__C","TOTAL_MARKS__C","ENG_DRAWING__C","SUFIELDUPDATE_BY_WORKFLOW__C","SUREQUESTSTATUS__C"
"a000X000016XOyYQAW","0050X000007fiTMQAY","false","SUStudentMaster-0001","","2018-07-05T08:39:55.000Z","0050X000007fiTMQAY","2018-09-02T20:10:37.000Z","0050X000007fiTMQAY","2018-09-02T20:10:37.000Z","","2018-09-08T17:02:39.000Z","2018-09-08T17:02:39.000Z","tara@gmail.com","2018-07-05","1999-03-28","NY","USA","19.46","CSE","IOT;AI","Tara","","","ACTIVE","true","true","2.0","1.0","186.0","false","",""
"a000X000016XOzHQAW","0050X0000084rCzQAI","false","SUStudentMaster-0003","","2018-07-05T08:42:33.000Z","0050X000007fiTMQAY","2018-09-02T11:05:12.000Z","0050X000007fiTMQAY","2018-09-02T11:05:12.000Z","","2018-09-02T11:06:31.000Z","2018-09-02T11:06:31.000Z","mark@gmail.com","2018-07-05","1989-07-17","London","UK","29.16","BUS","AI","Mark","","","ACTIVE","false","false","1.0","1.0","115.0","false","",""
"a000X000016XOynQAG","0050X000007fiTMQAY","false","SUStudentMaster-0002","","2018-07-05T08:40:57.000Z","0050X000007fiTMQAY","2018-09-08T15:45:02.000Z","0050X000007fiTMQAY","2018-09-08T15:45:02.000Z","","2018-09-08T17:41:03.000Z","2018-09-08T17:41:03.000Z","sam@gmail.com","2018-07-05","2001-09-03","NJ","USA","17.02","MATH","IOT;AI","Sam","","sam@gmail.com","ACTIVE","false","false","1.0","0.0","75.0","false","Please complete your on-boarding formalities!",""
"a000X000017Ye3TQAS","0050X000007fiTMQAY","false","SUStudentMaster-0011","0120X000000gJlyQAE","2018-09-02T20:15:15.000Z","0050X000007fiTMQAY","2018-09-02T21:37:04.000Z","0050X0000084rCVQAY","2018-09-02T21:37:04.000Z","","2018-09-08T19:11:00.000Z","2018-09-08T19:11:00.000Z","bruce@gmail.com","2018-09-02","2000-07-06","London","UK","18.19","CSE","IOT;AI","Bruce","","bruce@gmail.com","ACTIVE","true","true","0.0","0.0","0.0","false","Please complete your on-boarding formalities!","Request Approved"
"a000X000017YFJJQA4","0050X0000084rCVQAY","false","SUStudentMaster-0006","","2018-08-26T22:31:38.000Z","0050X0000084rCVQAY","2018-08-26T22:46:12.000Z","0050X0000084rCVQAY","2018-09-02T10:53:00.000Z","","","","tom@gmail.com","2018-08-27","1991-03-07","London","UK","27.53","MATH","IOT;AI","Tom","","789345809","ACTIVE","false","false","0.0","0.0","0.0","false","",""
"a000X000017YFJOQA4","0050X0000084rDJQAY","false","SUStudentMaster-0007","","2018-08-26T22:35:16.000Z","0050X0000084rDJQAY","2018-08-26T22:43:35.000Z","0050X0000084rDJQAY","2018-09-02T10:53:00.000Z","","","","william@gmail.com","2018-08-27","1980-04-13","Tokyo","Japan","38.43","CSE","IOT;AI","William","","9784567890","ACTIVE","true","true","0.0","0.0","0.0","false","",""
"a000X000017YFJTQA4","0050X0000084rDJQAY","false","SUStudentMaster-0008","","2018-08-26T22:37:49.000Z","0050X0000084rDJQAY","2018-08-26T22:44:11.000Z","0050X0000084rDJQAY","2018-09-02T10:53:00.000Z","","","","galanos@gmail.com","2018-08-27","1992-01-02","Nassau","Bahamas","26.7","ACON","ART","Galanos","","4567234581","ACTIVE","false","false","0.0","0.0","0.0","false","",""
"a000X000017YFJiQAO","0050X0000084rCzQAI","false","SUStudentMaster-0010","","2018-08-26T22:42:29.000Z","0050X0000084rCzQAI","2018-08-26T22:42:29.000Z","0050X0000084rCzQAI","2018-09-02T10:53:00.000Z","","","","clarton@gmail.com","2018-08-27","1994-06-02","NY","USA","24.28","CSE","IOT;AI;ART","Clarton","","4562257890","ACTIVE","true","true","0.0","0.0","0.0","false","",""
"a000X000017YFJ9QAO","0050X0000084rCVQAY","false","SUStudentMaster-0005","","2018-08-26T22:30:32.000Z","0050X0000084rCVQAY","2018-08-26T22:45:37.000Z","0050X0000084rCVQAY","2018-09-02T10:53:00.000Z","","","","miller@gmail.com","2018-08-27","1999-08-04","Miami","USA","19.11","CSE","IOT;AI","Miller","","6784563890","ACTIVE","true","true","0.0","0.0","0.0","false","",""
"a000X000017YFJdQAO","0050X0000084rCzQAI","false","SUStudentMaster-0009","","2018-08-26T22:40:55.000Z","0050X0000084rCzQAI","2018-08-26T22:40:55.000Z","0050X0000084rCzQAI","2018-09-02T10:53:00.000Z","","","","jerry@gmail.com","2018-08-27","1983-04-14","London","UK","35.43","BUS","IOT;ART","Jerry","","4562350984","ACTIVE","true","false","0.0","0.0","0.0","false","",""
