"ID","STUDENTEMAILID__C","DEPT__C","JAVA__C","CSHARP__C","ENG_DRAWING__C"
"a000X000016XOyYQAW","tara@gmail.com","CSE","true","true","false"
"a000X000016XOzHQAW","mark@gmail.com","BUS","false","false","false"
"a000X000016XOynQAG","sam@gmail.com","MATH","false","false","false"
"a000X000017Ye3TQAS","bruce@gmail.com","CSE","true","true","false"
"a000X000017YyNmQAK","sam@insert.com","MATH","false","false","false"
"a000X000017YyNnQAK","bruce@insert.com","CSE","true","true","false"
"a000X000017YyNoQAK","tom@insert.com","MATH","false","false","false"
"a000X000017YyNpQAK","william@insert.com","CSE","true","true","false"
"a000X000017YyNqQAK","galanos@insert.com","ACON","false","false","false"
"a000X000017YyNrQAK","clarton@insert.com","CSE","true","true","false"
"a000X000017YyNsQAK","miller@insert.com","CSE","true","true","false"
"a000X000017YyNtQAK","jerry@insert.com","BUS","true","false","false"
"a000X000017YyNuQAK","clark@insert.com","ECS","false","false","false"
"a000X000017YyNkQAK","tara@insert.com","CSE","true","true","false"
"a000X000017YyNlQAK","mark@insert.com","BUS","false","false","false"
"a000X000017YFJJQA4","tom@gmail.com","MATH","false","false","false"
"a000X000017YFJOQA4","william@gmail.com","CSE","true","true","false"
"a000X000017YFJTQA4","galanos@gmail.com","ACON","false","false","false"
"a000X000017YFJiQAO","clarton@gmail.com","CSE","true","true","false"
"a000X000017YFJ9QAO","miller@gmail.com","CSE","true","true","false"
"a000X000017YFJdQAO","jerry@gmail.com","BUS","true","false","false"
"a000X000016XQ4SQAW","clark@gmail.com","ECS","false","false","false"
